n,id,type,hearts,clubs,spades,diamonds,blocked,occupied,execution_time,score
3,1,asp,4,8,9,5,3,2,0.0097,9
3,1,mzn,4,8,9,5,3,2,0.1753,9
3,2,asp,5,3,4,6,3,2,0.0101,5
3,2,mzn,5,3,4,6,3,2,0.1575,5
3,3,asp,1,3,3,5,3,3,0.0094,2
3,3,mzn,1,3,3,5,3,3,0.1586,2
3,4,asp,6,9,1,5,3,1,0.0092,2
3,4,mzn,6,9,1,5,3,1,0.1771,2
3,5,asp,2,5,8,9,3,1,0.0093,8
3,5,mzn,2,5,8,9,3,1,0.1657,8
3,6,asp,6,6,1,3,3,3,0.0091,1
3,6,mzn,6,6,1,3,3,3,0.1714,1
3,7,asp,8,8,9,7,3,1,0.0107,8
3,7,mzn,8,8,9,7,3,1,0.2482,8
3,8,asp,4,1,6,5,2,1,0.0117,8
3,8,mzn,4,1,6,5,2,1,0.1602,8
3,9,asp,3,7,9,4,3,2,0.0091,4
3,9,mzn,3,7,9,4,3,2,0.1589,4
3,10,asp,1,8,2,1,2,2,0.0103,9
3,10,mzn,1,8,2,1,2,2,0.1688,9
3,11,asp,4,9,4,1,2,2,0.0104,8
3,11,mzn,4,9,4,1,2,2,0.169,8
3,12,asp,1,5,1,1,3,1,0.0105,4
3,12,mzn,1,5,1,1,3,1,0.1758,4
3,13,asp,4,3,6,6,1,3,0.0124,10
3,13,mzn,4,3,6,6,1,3,0.175,10
3,14,asp,4,6,2,5,3,3,0.0218,4
3,14,mzn,4,6,2,5,3,3,0.2126,4
3,15,asp,5,4,8,5,2,1,0.0102,9
3,15,mzn,5,4,8,5,2,1,0.1611,9
3,16,asp,2,3,2,8,3,2,0.0089,5
3,16,mzn,2,3,2,8,3,2,0.1712,5
3,17,asp,5,5,2,3,1,2,0.0115,8
3,17,mzn,5,5,2,3,1,2,0.1703,8
3,18,asp,8,1,1,3,3,3,0.0107,3
3,18,mzn,8,1,1,3,3,3,0.1652,3
3,19,asp,1,6,8,1,3,3,0.0091,4
3,19,mzn,1,6,8,1,3,3,0.1708,4
3,20,asp,3,8,4,8,1,3,0.0123,11
3,20,mzn,3,8,4,8,1,3,0.1591,11
4,1,asp,9,5,10,7,2,1,1.9453,28
4,1,mzn,9,5,10,7,2,1,0.1901,28
4,2,asp,10,4,2,5,4,2,0.0923,15
4,2,mzn,10,4,2,5,4,2,0.1676,15
4,3,asp,16,15,5,1,4,1,0.0217,12
4,3,mzn,16,15,5,1,4,1,0.2616,12
4,4,asp,4,12,7,15,1,1,12.5134,34
